id_ruta	largo [m]	ancho [m]	diferencia altura [m]	pendiente	calidad	luz	capacidad	area	nombre_ruta	comentarios_adicionales	autor
1	590,0000	3	25	0,042372881	mala	Mala	3540	1770	Hospital naval	-	gonza
2	524,0000	3	44	0,083969466	mala	Mala	3144	1572	PENDIENTE	-	gonza
3	530,0000	3	44	0,083018868	mala	Mala	3180	1590	marinero ugarte	-	gonza
4	562,0000	10	55	0,097864769	mala	Mala	11240	5620	19 Norte	-	Mart�n
5	500,0000	6	28	0,056	Media	Buena	6000	3000	18 Norte	-	Mart�n
6	1900,0000	6	33	0,017368421	Buena	Buena	22800	11400	Benidorm	se bifucra en otras 2 (28, 29)	Mart�n
7	1212,3000	8	28	0,0231	Buena	Buena	19396,8	9698,4	14 Norte	-	cris plaza
8,1	1291,0500	8	26	0,0201	Buena 	Buena	20656,8	10328,4	13 Norte 	(inicio en 14)	cris plaza
8,2	1334,4600	8	26	0,0195	Buena 	Buena	21351,36	10675,68	13 Norte 	(inicio en 12)	cris plaza
9	1345,5122	8	18	0,013548809	Buena 	Buena	21528,19469	10764,09734	12 Norte con Quillota	comienza desde la playa hasta 12 Norte luego conecta con Quillota y sigue hasta la Vulcanizacion San Rafael aprox.	dani
10	1605,0000	8	26	0,016199377	Buena	Buena	25680	12840	10 Norte con Quillota	-	agustin
11	2011,0000	8	24	0,011934361	Buena	Buena	32176	16088	PENDIENTE	-	agust�n
12	2220,8950	6,44	25	0,011256586	Buena 	Buena	28605,1276	14302,5638	6 Norte con Los Casta�os	comienza desde la playa hasta la 6 norte luego baja por Quillota hasta la interseccion con la 5 norte luego sigue por ahi hasta conectar con Av los casta�os (cambie su nombre a Av padre hurtado despues) y sigue derecho hasta mas o menos el estadio Sausalito del Everton de Vi�a del Mar	dani
13	2490,0000	10,81	21	0,0375	Buena 	Buena	53833,8	26916,9	4 Norte con Los Casta�os	Se suma a las rutas aleda�as, no presenta pendiente salvo en la parte de subida al lado del Sporting	Joaco
14	2540,0000	3,86	33	0,012992126	Buena	Buena	19608,8	9804,4	3 Norte con Los Casta�os	-	Joaco
15	2569,0000	4,65	34	0,013234722	Buena	Buena	23891,7	11945,85	2 Norte con Los Casta�os	-	Criswey
16	1760,0000	6,14	28	0,029232643	Buena 	Buena	21612,8	10806,4	Ruta del puente	-	Criswey
